keyword,url,title,title_cleaned,keyword_cleaned,title_filtered_tokens,question_text_validated,question_type,question_length,extracted_entities,funnel_stage,confidence
marketing,https://www.warriorforum.com/main-internet-marketing-discussion-forum/1471384-how-do-i-achieve-10x-scale-marketing-lead-gen-agency.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,How do I achieve 10x Scale for Marketing Lead Gen Agency,how do i achieve 10x scale for marketing lead gen agency,marketing,achieve 10x scale marketing lead gen agency,how do i achieve 10x scale for marketing lead gen agency,instructional,11,"[{'text': '10x', 'start': 17, 'end': 20, 'label': 'CARDINAL', 'label_desc': 'Numerals that do not fall under another type'}, {'text': 'Scale for Marketing Lead Gen Agency', 'start': 21, 'end': 56, 'label': 'WORK_OF_ART', 'label_desc': 'Titles of books, songs, etc.'}]",TOFU,0.37964144349098206
seo,https://www.warriorforum.com/search-engine-optimization/1471274-do-uncloacked-affiliate-links-harm-seo.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Do Uncloacked Affiliate Links Harm SEO?,do uncloacked affiliate links harm seo,seo,uncloacked affiliate links harm seo,do uncloacked affiliate links harm seo,boolean,6,[],TOFU,0.3820751905441284
seo,https://www.warriorforum.com/beginners-area/1470613-will-irrelevant-not-closely-relevant-website-contents-hurt-seo.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Will Irrelevant or Not-closely-relevant  Website Contents Hurt the SEO?,will irrelevant or notcloselyrelevant website contents hurt the seo,seo,irrelevant notcloselyrelevant website contents hurt seo,will irrelevant or notcloselyrelevant website contents hurt the seo,boolean,9,"[{'text': 'SEO', 'start': 67, 'end': 70, 'label': 'ORG', 'label_desc': 'Companies, agencies, institutions, etc.'}]",MOFU,0.40182286500930786
google ads,https://www.warriorforum.com/learn/3-simple-google-ads-tweaks-to-help-boost-sales&utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,3 simple Google Ads tweaks to help boost sales,3 simple google ads tweaks to help boost sales,google ads,3 simple google ads tweaks help boost sales,,other,0,"[{'text': '3', 'start': 0, 'end': 1, 'label': 'CARDINAL', 'label_desc': 'Numerals that do not fall under another type'}]",TOFU,0.353081077337265
marketing,https://www.warriorforum.com/main-internet-marketing-discussion-forum/1468671-does-anyone-still-recommend-classified-ads-marketing.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Does anyone still recommend classified ads for marketing?,does anyone still recommend classified ads for marketing,marketing,anyone still recommend classified ads marketing,does anyone still recommend classified ads for marketing,boolean,8,[],TOFU,0.3874429762363434
seo,https://www.warriorforum.com/learn-forum/1468056-how-harmonise-your-ppc-seo-strategies-5-steps.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,How to harmonise your PPC and SEO strategies in 5 steps,how to harmonise your ppc and seo strategies in 5 steps,seo,harmonise ppc seo strategies 5 steps,how to harmonise your ppc and seo strategies in 5 steps,instructional,11,"[{'text': 'PPC', 'start': 22, 'end': 25, 'label': 'ORG', 'label_desc': 'Companies, agencies, institutions, etc.'}, {'text': 'SEO', 'start': 30, 'end': 33, 'label': 'ORG', 'label_desc': 'Companies, agencies, institutions, etc.'}, {'text': '5', 'start': 48, 'end': 49, 'label': 'CARDINAL', 'label_desc': 'Numerals that do not fall under another type'}]",MOFU,0.41178473830223083
strategy,https://www.warriorforum.com/main-internet-marketing-discussion-forum/1468018-what-strategy-do-you-use.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,What strategy do you use?,what strategy do you use,strategy,strategy use,what strategy do you use,informational,5,[],MOFU,0.3579491674900055
facebook ads,https://www.warriorforum.com/social-media/1467909-effective-facebook-ads-long-primary-texts.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Effective Facebook Ads with Long Primary Texts,effective facebook ads with long primary texts,facebook ads,effective facebook ads long primary texts,,other,0,[],TOFU,0.4028797447681427
traffic,https://www.warriorforum.com/beginners-area/1467399-how-can-i-increase-our-web-traffic-using-duckduckgo.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,How can I increase our web traffic using DuckDuckGo?,how can i increase our web traffic using duckduckgo,traffic,increase web traffic using duckduckgo,how can i increase our web traffic using duckduckgo,instructional,9,[],TOFU,0.4121845066547394
marketing,https://www.warriorforum.com/learn/how-ai-can-help-your-marketing-right-now&utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,How AI can help your marketing right now,how ai can help your marketing right now,marketing,ai help marketing right,how ai can help your marketing right now,instructional,8,[],MOFU,0.3767435550689697
advertising,https://www.warriorforum.com/ad-networks-cpm-cpl-display/1466898-what-ctv-advertising-how-do-you-get-most-out.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,What is CTV advertising and how do you get the most out of it?,what is ctv advertising and how do you get the most out of it,advertising,ctv advertising get,what is ctv advertising and how do you get the most out of it,informational,14,"[{'text': 'CTV', 'start': 8, 'end': 11, 'label': 'ORG', 'label_desc': 'Companies, agencies, institutions, etc.'}]",MOFU,0.37717702984809875
traffic,https://www.warriorforum.com/social-media/1466941-free-facebook-traffic-thing-past.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Is free Facebook traffic a thing of the past?,is free facebook traffic a thing of the past,traffic,free facebook traffic thing past,is free facebook traffic a thing of the past,boolean,9,[],MOFU,0.38363003730773926
pr,https://www.warriorforum.com/search-engine-optimization/1465422-how-optimise-product-pages-your-google-merchant-listing.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,How to optimise product pages on your Google Merchant listing,how to optimise product pages on your google merchant listing,pr,optimise product pages google merchant listing,how to optimise product pages on your google merchant listing,instructional,10,"[{'text': 'Google Merchant', 'start': 38, 'end': 53, 'label': 'WORK_OF_ART', 'label_desc': 'Titles of books, songs, etc.'}]",MOFU,0.4286143183708191
conversion,https://www.warriorforum.com/pay-per-click-search-engine-marketing-ppc-sem/1465402-bemob-didnt-record-2-conversions-me.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Bemob didn't record 2 conversions for me,bemob didnt record 2 conversions for me,conversion,bemob didnt record 2 conversions,,other,0,"[{'text': 'Bemob', 'start': 0, 'end': 5, 'label': 'ORG', 'label_desc': 'Companies, agencies, institutions, etc.'}, {'text': '2', 'start': 20, 'end': 21, 'label': 'CARDINAL', 'label_desc': 'Numerals that do not fall under another type'}]",MOFU,0.462447851896286
seo,https://www.warriorforum.com/learn/how-to-track-customers-and-revenue-from-seo-in-your-crm&utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,How to track customers and revenue from SEO in your CRM,how to track customers and revenue from seo in your crm,seo,track customers revenue seo crm,how to track customers and revenue from seo in your crm,instructional,11,"[{'text': 'SEO', 'start': 40, 'end': 43, 'label': 'ORG', 'label_desc': 'Companies, agencies, institutions, etc.'}, {'text': 'CRM', 'start': 52, 'end': 55, 'label': 'PRODUCT', 'label_desc': 'Objects, vehicles, foods, etc. (not services)'}]",MOFU,0.34175240993499756
digital,https://www.warriorforum.com/main-internet-marketing-discussion-forum/1464308-i-guess-makes-sense-digital-experience-important-diners-too.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,I guess this makes sense? Digital experience is important to diners too,i guess this makes sense digital experience is important to diners too,digital,guess makes sense digital experience important diners,,other,0,[],TOFU,0.4197990596294403
traffic,https://www.warriorforum.com/main-internet-marketing-discussion-forum/1463413-does-anyone-use-only-paid-traffic-exclusively.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Does anyone use ONLY paid traffic exclusively?,does anyone use only paid traffic exclusively,traffic,anyone use paid traffic exclusively,does anyone use only paid traffic exclusively,boolean,7,[],MOFU,0.3869122862815857
strategy,https://www.warriorforum.com/main-internet-marketing-discussion-forum/1463270-how-analyse-your-content-craft-winning-strategy-2023-a.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,How to analyse your content and craft a winning strategy in 2023,how to analyse your content and craft a winning strategy in 2023,strategy,analyse content craft winning strategy 2023,how to analyse your content and craft a winning strategy in 2023,instructional,12,"[{'text': '2023', 'start': 60, 'end': 64, 'label': 'DATE', 'label_desc': 'Absolute or relative dates or periods'}]",MOFU,0.4298945665359497
analytics,https://www.warriorforum.com/search-engine-optimization/1463269-using-google-analytics-even-search-ranking-factor.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Is using Google Analytics even a search ranking factor?,is using google analytics even a search ranking factor,analytics,using google analytics even search ranking factor,is using google analytics even a search ranking factor,boolean,9,"[{'text': 'Google Analytics', 'start': 9, 'end': 25, 'label': 'ORG', 'label_desc': 'Companies, agencies, institutions, etc.'}]",TOFU,0.3912186026573181
seo,https://www.warriorforum.com/search-engine-optimization/1462921-really-new-era-google-search-what-does-mean-seo.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Is this really a new era of Google Search? And what does it mean for SEO?,is this really a new era of google search and what does it mean for seo,seo,really new era google search mean seo,is this really a new era of google search and what does it mean for seo,boolean,16,"[{'text': 'Google Search', 'start': 28, 'end': 41, 'label': 'ORG', 'label_desc': 'Companies, agencies, institutions, etc.'}, {'text': 'SEO', 'start': 69, 'end': 72, 'label': 'ORG', 'label_desc': 'Companies, agencies, institutions, etc.'}]",MOFU,0.5246805548667908
analytics,https://www.warriorforum.com/search-engine-optimization/1460764-google-analytics-will-discontinue-reporting-store-visits.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Google Analytics will discontinue reporting of store visits,google analytics will discontinue reporting of store visits,analytics,google analytics discontinue reporting store visits,,other,0,"[{'text': 'Google Analytics', 'start': 0, 'end': 16, 'label': 'ORG', 'label_desc': 'Companies, agencies, institutions, etc.'}]",MOFU,0.3563692569732666
social media,https://www.warriorforum.com/social-media/1459621-what-your-tips-creating-engaging-social-media-content-heres-few-get-you-started.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,What are your tips for creating engaging social media content? Here's a few to get you started,what are your tips for creating engaging social media content heres a few to get you started,social media,tips creating engaging social media content heres get started,what are your tips for creating engaging social media content heres a few to get you started,informational,17,[],TOFU,0.37223735451698303
marketing,https://www.warriorforum.com/social-media/1459572-what-your-tips-maximising-facebook-marketing-holiday-season.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,What are your tips for maximising Facebook Marketing this holiday season?,what are your tips for maximising facebook marketing this holiday season,marketing,tips maximising facebook marketing holiday season,what are your tips for maximising facebook marketing this holiday season,informational,11,"[{'text': 'Facebook Marketing', 'start': 34, 'end': 52, 'label': 'WORK_OF_ART', 'label_desc': 'Titles of books, songs, etc.'}, {'text': 'this holiday season', 'start': 53, 'end': 72, 'label': 'DATE', 'label_desc': 'Absolute or relative dates or periods'}]",TOFU,0.3533601462841034
strategy,https://www.warriorforum.com/main-internet-marketing-discussion-forum/1459530-how-quickly-fill-content-gaps-your-strategy.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,How to quickly fill content gaps in your strategy,how to quickly fill content gaps in your strategy,strategy,quickly fill content gaps strategy,how to quickly fill content gaps in your strategy,instructional,9,[],TOFU,0.5422384738922119
pr,https://www.warriorforum.com/website-design/1459157-does-optimising-online-experience-disabilities-improve-things-all-customers.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Does optimising the online experience for disabilities improve things for all customers?,does optimising the online experience for disabilities improve things for all customers,pr,optimising online experience disabilities improve things customers,does optimising the online experience for disabilities improve things for all customers,boolean,12,[],TOFU,0.3845624327659607
seo,https://www.warriorforum.com/programming/1459156-do-javascript-redirects-work-seo.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Do JavaScript redirects work for SEO?,do javascript redirects work for seo,seo,javascript redirects work seo,do javascript redirects work for seo,boolean,6,"[{'text': 'JavaScript', 'start': 3, 'end': 13, 'label': 'ORG', 'label_desc': 'Companies, agencies, institutions, etc.'}, {'text': 'SEO', 'start': 33, 'end': 36, 'label': 'ORG', 'label_desc': 'Companies, agencies, institutions, etc.'}]",MOFU,0.41999197006225586
outreach,https://www.warriorforum.com/search-engine-optimization/1457975-how-find-quality-email-outreach-prospects-2022-a.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,How to find quality email outreach prospects in 2022?,how to find quality email outreach prospects in 2022,outreach,find quality email outreach prospects 2022,how to find quality email outreach prospects in 2022,instructional,9,"[{'text': '2022', 'start': 48, 'end': 52, 'label': 'DATE', 'label_desc': 'Absolute or relative dates or periods'}]",MOFU,0.44580715894699097
marketing,https://www.warriorforum.com/offline-marketing/1457952-music-part-your-short-term-marketing-strategy-maybe-should.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Is music a part of your short-term marketing strategy? Maybe it should be,is music a part of your shortterm marketing strategy maybe it should be,marketing,music part shortterm marketing strategy maybe,is music a part of your shortterm marketing strategy maybe it should be,boolean,13,[],MOFU,0.531764805316925
advertising,https://www.warriorforum.com/ad-networks-cpm-cpl-display/1457954-advice-think-beyond-basic-identities-more-inclusive-advertising-approach.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Advice: Think beyond basic identities for a more inclusive advertising approach,advice think beyond basic identities for a more inclusive advertising approach,advertising,advice think beyond basic identities inclusive advertising approach,,other,0,[],MOFU,0.3654756247997284
conversion,https://www.warriorforum.com/ecommerce-sites-wholesaling-drop-shipping/1457354-how-do-you-find-understand-conversion-rates-your-amazon-products.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,How do you find and understand the conversion rates of your Amazon products?,how do you find and understand the conversion rates of your amazon products,conversion,find understand conversion rates amazon products,how do you find and understand the conversion rates of your amazon products,instructional,13,"[{'text': 'Amazon', 'start': 60, 'end': 66, 'label': 'ORG', 'label_desc': 'Companies, agencies, institutions, etc.'}]",TOFU,0.4409242868423462
social media,https://www.warriorforum.com/social-media/1456155-what-content-type-tops-social-media-study.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,What content type tops social media in this study?,what content type tops social media in this study,social media,content type tops social media study,what content type tops social media in this study,informational,9,[],MOFU,0.39780524373054504
marketing,https://www.warriorforum.com/social-media/1455299-who-uses-linkedin-part-digital-marketing-strategy-these-new-features-might-pique-you.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Who uses Linkedin as part of the digital marketing strategy? These new features might pique you.,who uses linkedin as part of the digital marketing strategy these new features might pique you,marketing,uses linkedin part digital marketing strategy new features might pique,who uses linkedin as part of the digital marketing strategy these new features might pique you,personal,16,[],TOFU,0.39950382709503174
marketing,https://www.warriorforum.com/email-marketing/1455247-you-ready-enterprise-email-marketing-platform-we-ll-help-you-decide.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Are you ready for an enterprise email marketing platform? We'll help you decide.,are you ready for an enterprise email marketing platform well help you decide,marketing,ready enterprise email marketing platform well help decide,are you ready for an enterprise email marketing platform well help you decide,boolean,13,[],TOFU,0.4401862323284149
marketing,https://www.warriorforum.com/learn-forum/1455121-how-mobile-gaming-brands-can-maximise-tiktok-marketing.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,How mobile gaming brands can maximise TikTok for marketing,how mobile gaming brands can maximise tiktok for marketing,marketing,mobile gaming brands maximise tiktok marketing,how mobile gaming brands can maximise tiktok for marketing,instructional,9,"[{'text': 'TikTok', 'start': 38, 'end': 44, 'label': 'ORG', 'label_desc': 'Companies, agencies, institutions, etc.'}]",TOFU,0.687015950679779
customers,https://www.warriorforum.com/main-internet-marketing-discussion-forum/1453683-lapsed-customers-aren-t-same-unengaged-subscribers.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Lapsed customers aren't the same as unengaged subscribers,lapsed customers arent the same as unengaged subscribers,customers,lapsed customers arent unengaged subscribers,,other,0,[],TOFU,0.3835653066635132
promotion,https://www.warriorforum.com/learn-forum/1453076-effective-promotional-approaches-tiktok.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Effective promotional approaches on TikTok,effective promotional approaches on tiktok,promotion,effective promotional approaches tiktok,,other,0,"[{'text': 'TikTok', 'start': 36, 'end': 42, 'label': 'ORG', 'label_desc': 'Companies, agencies, institutions, etc.'}]",MOFU,0.42810365557670593
strategy,https://www.warriorforum.com/main-internet-marketing-discussion-forum/1451781-how-create-three-tier-blog-strategy-increase-revenue.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,How to create a three-tier blog strategy to increase revenue,how to create a threetier blog strategy to increase revenue,strategy,create threetier blog strategy increase revenue,how to create a threetier blog strategy to increase revenue,instructional,10,"[{'text': 'three', 'start': 16, 'end': 21, 'label': 'CARDINAL', 'label_desc': 'Numerals that do not fall under another type'}]",TOFU,0.40456002950668335
